Month,Android Installs,IOS Installs,Total Installs,Registrations (Sign Up),MAU,"MPU
(Non Ticketing","ARPU
(Non Ticketing)",Regis to Install %,MPU to MAU %
June 2024,20602,1347,21949,5477,"125,997",84,"378,130.95",24.95%,0.07%
July 2024,"44,948",7958,"52,906",21704,"174,775",390,"303,506.86",41.02%,0.22%
August 2024,"62,142",11600,"73,742",29074,"212,622","6,488","66,192.44",39.43%,3.05%
September 2024,"53,526",12325,"65,851",21287,"209,095","14,273","29,247.26",32.33%,6.83%
October 2024,"21,769",1914,"23,683",5528,"138,816",548,"96,185.65",23.34%,0.39%
November 2024,"27,014",3853,"30,867",8742,"138,756","1,727","52,475.96",28.32%,1.24%
December 2024,"43,049",7724,"50,773",21112,"170,832","2,933","41,410.26",41.58%,1.72%
January 2025,"62,836",13440,"76,276",36849,"193,939","4,427","53,663.81",48.31%,2.28%
February 2025,"69,457",14187,"83,644",44287,"234,232","6,192","37,845.09",52.95%,2.64%
March 2025,"40,019",7014,"47,033",21764,"189,187","1,397","65,893.40",46.27%,0.74%
April 2025,"135,621",40353,"175,974",88008,"302,144","24,641","29,832.64",50.01%,8.16%
May 2025,"147,890",44564,"192,454",94346,"446,637","21,032","60,116.09",49.02%,4.71%
June 2025,"31,824",3580,"35,404",9288,"138,704",363,"158,071.30",26.23%,0.26%
July 2025,"37,944",7115,"45,059",18387,"151,691",505,"160,247.86",40.81%,0.33%
August 2025,"64,712",16152,"80,864",42495,"262,142","2,645","63,049.69",52.55%,1.01%
September 2025,"55,126",13369,"68,495",32121,"261,761","1,485","58,269.93",46.90%,0.57%
October 2025,"44,034",11481,"55,515",24015,"197,344","1,093","51,899.47",43.26%,0.55%
November 2025,"60,848",18854,"79,702",41044,"235,814","3,108","31,396.90",51.50%,1.32%
December 2025,"140,485",52107,"192,592",123278,"386,054","8,805","27,935.03",64.01%,2.28%
January 2026,"123,200",44569,"167,769",392339,"450,755","11,606","23,986.55",233.86%,2.57%
February 2026,"60,345",17497,"77,842",37554,"358,530","4,727","28,164.77",48.24%,1.32%
March 2026,"46,186",11656,"57,842",23284,"270,579","2,682","31,644.65",40.25%,0.99%
April 2026,"30,385",14332,"44,717",26363,"306,608","3,915","23,270.13",58.96%,1.28%
