Scenario,ARPU (IDR),MPU/MAU Conv %,Required MAU,Monthly Installs (Est @ 3.2x MAU)
ARPU Fixed at 36822,36822,1.0%,4937759,1543049
ARPU Fixed at 36822,36822,1.5%,3291839,1028699
ARPU Fixed at 36822,36822,2.0%,2468879,771524
ARPU Fixed at 36822,36822,2.5%,1975103,617219
ARPU Fixed at 36822,36822,3.0%,1645919,514349
ARPU Fixed at 36822,36822,4.0%,1234439,385762
ARPU Fixed at 36822,36822,5.0%,987551,308609
Conv Fixed at 1.69%,25000,1.69%,4303388,1344809
Conv Fixed at 1.69%,30000,1.69%,3586157,1120674
Conv Fixed at 1.69%,35000,1.69%,3073849,960577
Conv Fixed at 1.69%,40000,1.69%,2689618,840505
Conv Fixed at 1.69%,50000,1.69%,2151694,672404
Conv Fixed at 1.69%,60000,1.69%,1793078,560337
